date,open,high,low,close,volume
2024-03-28,0.61190000,0.63780000,0.60330000,0.62440000,500717330.00000000
2024-03-29,0.62430000,0.64550000,0.60870000,0.63010000,536802072.00000000
2024-03-30,0.63000000,0.63720000,0.61780000,0.62120000,275028227.00000000
2024-03-31,0.62110000,0.63010000,0.62040000,0.62920000,181972969.00000000
2024-04-01,0.62920000,0.63360000,0.59470000,0.61100000,546287523.00000000
2024-04-02,0.61100000,0.61850000,0.57900000,0.58540000,648286441.00000000
2024-04-03,0.58540000,0.59300000,0.56630000,0.57420000,493903933.00000000
2024-04-04,0.57410000,0.61760000,0.56230000,0.59350000,701629386.00000000
2024-04-05,0.59340000,0.59390000,0.56870000,0.58710000,421470900.00000000
2024-04-06,0.58700000,0.59880000,0.58520000,0.59300000,165404890.00000000
2024-04-07,0.59300000,0.60280000,0.58940000,0.59440000,210766117.00000000
2024-04-08,0.59450000,0.62650000,0.58810000,0.61470000,512812491.00000000
2024-04-09,0.61460000,0.64310000,0.60120000,0.61410000,648585747.00000000
2024-04-10,0.61400000,0.62040000,0.59280000,0.61720000,449695736.00000000
2024-04-11,0.61710000,0.62140000,0.60290000,0.60860000,316314812.00000000
2024-04-12,0.60850000,0.61590000,0.50680000,0.54680000,903224330.00000000
2024-04-13,0.54680000,0.54910000,0.41880000,0.47880000,1199425184.00000000
2024-04-14,0.47880000,0.50730000,0.46370000,0.50330000,820741178.00000000
2024-04-15,0.50340000,0.51890000,0.48110000,0.49770000,680790708.00000000
2024-04-16,0.49770000,0.50210000,0.47540000,0.49650000,535103938.00000000
2024-04-17,0.49650000,0.50810000,0.47150000,0.49510000,496078590.00000000
2024-04-18,0.49510000,0.50570000,0.48560000,0.50250000,408855589.00000000
2024-04-19,0.50260000,0.51080000,0.46650000,0.50300000,649243049.00000000
2024-04-20,0.50300000,0.53000000,0.49810000,0.52880000,323152269.00000000
2024-04-21,0.52880000,0.53670000,0.51830000,0.52460000,209381366.00000000
2024-04-22,0.52460000,0.57150000,0.52210000,0.55600000,481213218.00000000
2024-04-23,0.55600000,0.55760000,0.54150000,0.54450000,395536969.00000000
2024-04-24,0.54450000,0.55190000,0.52120000,0.52750000,437750382.00000000
2024-04-25,0.52760000,0.53270000,0.51370000,0.52540000,358100461.00000000
2024-04-26,0.52540000,0.53610000,0.51430000,0.52610000,354085810.00000000
2024-04-27,0.52610000,0.52650000,0.50800000,0.51790000,195569696.00000000
2024-04-28,0.51780000,0.52530000,0.50850000,0.51030000,135893039.00000000
2024-04-29,0.51040000,0.51750000,0.49860000,0.51510000,347828455.00000000
2024-04-30,0.51500000,0.51980000,0.48750000,0.50060000,395591280.00000000
2024-05-01,0.50060000,0.52140000,0.47820000,0.51750000,478521177.00000000
2024-05-02,0.51750000,0.52450000,0.50670000,0.51800000,344602656.00000000
2024-05-03,0.51800000,0.53670000,0.51450000,0.53170000,363626848.00000000
2024-05-04,0.53170000,0.54100000,0.52720000,0.53020000,158694221.00000000
2024-05-05,0.53020000,0.53340000,0.52400000,0.52960000,112344720.00000000
2024-05-06,0.52950000,0.57030000,0.52470000,0.54020000,567274807.00000000
2024-05-07,0.54010000,0.54430000,0.52170000,0.52450000,346192205.00000000
2024-05-08,0.52440000,0.53000000,0.51530000,0.51710000,346832658.00000000
2024-05-09,0.51700000,0.52380000,0.50870000,0.52090000,299812797.00000000
2024-05-10,0.52090000,0.52090000,0.49700000,0.50220000,356081362.00000000
2024-05-11,0.50220000,0.50790000,0.50050000,0.50590000,99554446.00000000
2024-05-12,0.50590000,0.50880000,0.49570000,0.49930000,96995150.00000000
2024-05-13,0.49930000,0.51210000,0.48660000,0.50530000,307847853.00000000
2024-05-14,0.50520000,0.51320000,0.49720000,0.50020000,306746811.00000000
2024-05-15,0.50020000,0.51960000,0.49670000,0.51880000,323956909.00000000
2024-05-16,0.51880000,0.52280000,0.51230000,0.51570000,327561119.00000000
2024-05-17,0.51580000,0.52920000,0.51350000,0.52340000,286496760.00000000
2024-05-18,0.52350000,0.52560000,0.51860000,0.52130000,90176826.00000000
2024-05-19,0.52130000,0.52360000,0.50630000,0.50960000,112974578.00000000
2024-05-20,0.50960000,0.53800000,0.50640000,0.53770000,404880454.00000000
2024-05-21,0.53770000,0.55710000,0.53190000,0.53700000,491396281.00000000
2024-05-22,0.53700000,0.53830000,0.52240000,0.52680000,303183587.00000000
2024-05-23,0.52680000,0.54880000,0.50270000,0.52890000,585134596.00000000
2024-05-24,0.52880000,0.53750000,0.51680000,0.53600000,322992520.00000000
2024-05-25,0.53590000,0.54260000,0.53180000,0.54160000,132376204.00000000
2024-05-26,0.54160000,0.54200000,0.52550000,0.52830000,108799266.00000000
2024-05-27,0.52830000,0.54090000,0.52360000,0.53400000,244982717.00000000
2024-05-28,0.53390000,0.53550000,0.52110000,0.52870000,282469800.00000000
2024-05-29,0.52860000,0.53340000,0.52000000,0.52380000,316791079.00000000
2024-05-30,0.52380000,0.52830000,0.51270000,0.51860000,361762802.00000000
2024-05-31,0.51850000,0.52590000,0.51190000,0.51760000,304398744.00000000
2024-06-01,0.51760000,0.52190000,0.51740000,0.51870000,88294554.00000000
2024-06-02,0.51870000,0.52090000,0.50800000,0.51350000,130902096.00000000
2024-06-03,0.51350000,0.52320000,0.51180000,0.51990000,237659106.00000000
2024-06-04,0.51990000,0.53030000,0.51820000,0.52570000,252531633.00000000
2024-06-05,0.52570000,0.53260000,0.52400000,0.52580000,248045273.00000000
2024-06-06,0.52590000,0.52810000,0.51640000,0.52150000,289657499.00000000
2024-06-07,0.52140000,0.52800000,0.45080000,0.49910000,549543388.00000000
2024-06-08,0.49910000,0.50080000,0.48970000,0.49260000,152121412.00000000
2024-06-09,0.49270000,0.49920000,0.49090000,0.49860000,90936082.00000000
2024-06-10,0.49870000,0.50600000,0.49330000,0.49690000,249759346.00000000
2024-06-11,0.49690000,0.49700000,0.47070000,0.48020000,429410619.00000000
2024-06-12,0.48030000,0.49820000,0.47420000,0.49160000,341106347.00000000
2024-06-13,0.49170000,0.49170000,0.47560000,0.47690000,290198216.00000000
2024-06-14,0.47680000,0.48140000,0.46010000,0.47460000,389318737.00000000
2024-06-15,0.47460000,0.50530000,0.47400000,0.49080000,176444562.00000000
2024-06-16,0.49080000,0.49970000,0.48780000,0.48910000,161562815.00000000
2024-06-17,0.48910000,0.52130000,0.48380000,0.50470000,584945066.00000000
2024-06-18,0.50480000,0.50960000,0.46900000,0.49100000,582727016.00000000
2024-06-19,0.49090000,0.49960000,0.48680000,0.49330000,260612342.00000000
2024-06-20,0.49330000,0.50230000,0.48830000,0.48880000,324974220.00000000
2024-06-21,0.48880000,0.49590000,0.47970000,0.48890000,336098409.00000000
2024-06-22,0.48900000,0.48970000,0.48410000,0.48660000,79168277.00000000
2024-06-23,0.48670000,0.48920000,0.47420000,0.47970000,95099780.00000000
2024-06-24,0.47980000,0.48250000,0.46200000,0.47400000,385123013.00000000
2024-06-25,0.47410000,0.48020000,0.47310000,0.47570000,226045665.00000000
2024-06-26,0.47580000,0.47830000,0.46520000,0.46980000,243409484.00000000
2024-06-27,0.46970000,0.47710000,0.46570000,0.47530000,243549420.00000000
2024-06-28,0.47530000,0.48110000,0.46920000,0.47160000,264186218.00000000
2024-06-29,0.47160000,0.47680000,0.47160000,0.47270000,57959490.00000000
2024-06-30,0.47270000,0.47840000,0.47010000,0.47610000,82862100.00000000
2024-07-01,0.47610000,0.48490000,0.47540000,0.47700000,211844474.00000000
2024-07-02,0.47710000,0.48890000,0.47600000,0.48530000,226194005.00000000
2024-07-03,0.48530000,0.48750000,0.46110000,0.46720000,317610313.00000000
2024-07-04,0.46720000,0.46970000,0.43130000,0.43290000,436420394.00000000
2024-07-05,0.43300000,0.43350000,0.38230000,0.42510000,728055932.00000000
2024-07-06,0.42520000,0.44970000,0.42350000,0.44880000,168945863.00000000
2024-07-07,0.44890000,0.44950000,0.41820000,0.41950000,175785229.00000000
